city,temp,temp_max,temp_min,lon,lat
Arcueil,5.64,6.65,4.54,2.33256,48.799931
Ardentes,2.9,3.47,0.65,1.8342800000000001,46.741909
Ardes,-3.03,-2.93,-3.13,3.13333,45.400002
Ardin,3.33,4.37,3.3,-0.5541600000000001,46.475121
Ardres,7.56,8.26,6.61,1.98168,50.857861
Arengosse,4.57,8.0,-0.4,-0.78844,44.004421
Arenthon,1.88,3.84,-1.78,6.33149,46.10466
Arette,3.79,5.93,2.12,-0.71667,43.099998
Arfeuilles,-4.58,-3.39,-4.58,2.65889,45.755829
Argagnon,5.25,8.02,2.9,-0.6833300000000001,43.450001
Arganchy,7.18,8.61,5.66,-0.74158,49.23587
Argancy,5.42,7.05,2.41,6.20138,49.196701
Argeliers,8.68,11.19,5.87,2.91046,43.312168
Argences,6.88,7.4,5.8,-0.16644,49.12635
Argent-sur-Sauldre,3.25,4.01,1.79,2.4441,47.558472
Argentan,6.4,6.4,4.87,-0.01667,48.75
Argentat,9.88,9.88,4.23,1.93987,45.09634
Argenteuil,5.66,6.73,4.62,2.25,48.950001
Argenton,6.76,7.55,-1.08,0.09521,44.385139
Argenton-sur-Creuse,4.19,4.19,4.19,1.51981,46.58997
Arget,4.1,5.71,2.63,-0.5333300000000001,43.549999
Argouges,6.8,7.14,5.95,-1.39682,48.50227
Arinthod,-1.31,3.04,-3.73,5.56616,46.393391
Arlanc,-1.8,-1.21,-2.86,3.72528,45.413891
Arles,5.63,8.39,1.33,2.63457,42.456539
Arlet,2.34,2.35,2.33,3.41949,45.11607
Arleuf,-0.65,-0.51,-0.78,4.02274,47.04417
Arleux,7.08,7.83,6.11,3.10448,50.280369
Armbouts-Cappel,7.36,8.34,6.68,2.35352,50.976822
Armendarits,5.28,8.55,3.04,-1.17508,43.29985
Armentières,7.41,8.23,6.23,2.88333,50.683331
Armillac,5.51,7.21,-1.38,0.38753000000000004,44.556911
Armissan,7.9,9.76,7.0,3.0966,43.187778
Armoy,-0.21,2.66,-3.9,6.52,46.34893
Arnac,6.15,6.18,6.12,2.2334,45.058659
Arnac-Pompadour,3.06,7.12,3.04,1.36993,45.409752
Arnac-la-Poste,5.67,5.67,5.67,1.37375,46.265968
Arnage,5.46,6.36,4.72,0.18782000000000001,47.926159
Arnas,0.46,3.35,-2.01,4.70638,46.023899
Arnay-le-Duc,1.51,2.2,-1.14,4.48595,47.132019
Arnos,3.18,5.24,2.16,-0.5333300000000001,43.450001
Arnouville,5.29,6.53,4.14,2.41667,48.98333
Aron,5.76,5.76,5.76,-0.5598000000000001,48.298
Aroue-Ithorots-Olhaïby,4.55,7.72,3.42,-0.9166700000000001,43.316669
Arpajon,5.48,6.6,4.2,2.24672,48.588749
Arpajon-sur-Cère,6.17,6.18,2.82,2.46667,44.900002
Arpheuilles-Saint-Priest,-1.01,-0.93,-2.28,2.6790000000000003,46.224289
Arques,7.46,8.27,6.62,2.30237,50.733749
Arques-la-Bataille,7.17,7.5,5.83,1.12875,49.881222
Arradon,8.3,8.8,6.49,-2.8215,47.627102
Arras,6.96,7.61,6.29,2.78186,50.293011
Arrast-Larrebieu,3.96,7.45,3.12,-0.8493,43.293701
Arraute-Charritte,5.87,8.05,3.38,-1.10498,43.396111
Arricau-Bordes,3.09,7.92,1.8,-0.13333,43.5
Arrondissement d'Abbeville,7.17,7.78,6.66,1.75,50.166672
Arrondissement d'Agen,7.93,9.13,5.81,0.58333,44.166672
Arrondissement d'Aix-en-Provence,1.38,11.36,-2.46,5.33333,43.5
Arrondissement d'Ajaccio,6.73,6.99,3.27,8.91667,42.0
Arrondissement d'Albertville,-8.18,-5.61,-11.91,6.58333,45.583328
Arrondissement d'Albi,8.01,10.47,5.15,2.0,43.916672
Arrondissement d'Alençon,5.78,5.78,5.78,-0.16667,48.583328
Arrondissement d'Altkirch,2.1,3.01,-0.54,7.16667,47.583328
Arrondissement d'Alès,2.64,5.82,1.75,4.08333,44.166672
Arrondissement d'Ambert,-5.34,-4.87,-5.34,3.66667,45.583328
Arrondissement d'Amiens,6.63,7.57,5.9,2.16667,49.916672
Arrondissement d'Ancenis,6.07,6.81,5.57,-1.25,47.416672
Arrondissement d'Angers,5.57,6.27,5.37,-0.6666700000000001,47.5
Arrondissement d'Angoulême,4.39,9.29,2.9,0.16667,45.666672
Arrondissement d'Annecy,0.79,2.45,-2.66,6.16667,45.916672
Arrondissement d'Antony,5.5,6.59,4.19,2.3006,48.7617
Arrondissement d'Apt,-1.62,4.46,-2.27,5.33333,43.833328
Arrondissement d'Arcachon,0.04,5.23,0.03,-1.05194,44.587528
Arrondissement d'Argelès-Gazost,-2.93,-0.18,-4.19,-0.08333,42.916672
Arrondissement d'Argentan,6.47,6.47,6.47,-0.16667,48.75
Arrondissement d'Argenteuil,5.59,6.76,4.36,2.2542,48.946301
Arrondissement d'Arles,4.95,6.94,2.92,4.75,43.666672
Arrondissement d'Arras,6.67,7.34,6.04,2.66667,50.25
Arrondissement d'Aubusson,-1.13,-1.13,-1.13,2.16667,46.0
Arrondissement d'Auch,7.21,8.48,4.78,0.6666700000000001,43.583328
Arrondissement d'Aurillac,5.05,5.05,1.7,2.33333,44.833328
Arrondissement d'Autun,0.86,1.79,-0.89,4.25,46.916672
Arrondissement d'Auxerre,1.74,1.74,1.74,3.5,47.75
Arrondissement d'Avallon,1.71,1.71,1.71,4.0,47.666672
Arrondissement d'Avesnes-sur-Helpe,5.3,6.52,4.14,3.83333,50.166672
Arrondissement d'Avignon,4.65,6.46,2.4,4.83333,44.083328
Arrondissement d'Avranches,6.27,6.27,6.27,-1.16667,48.666672
Arrondissement d'Issoire,-4.7,-4.7,-4.7,3.0,45.5
Arrondissement d'Issoudun,3.72,3.83,0.54,1.8333300000000001,47.0
Arrondissement d'Istres,2.03,6.81,-1.92,4.9953,43.504101
Arrondissement d'Oloron-Sainte-Marie,1.83,4.05,1.79,-0.75,43.166672
Arrondissement d'Orléans,3.68,4.42,2.21,2.08333,47.916672
Arrondissement d'Ussel,0.67,0.67,0.67,2.16667,45.5
Arrondissement d'Yssingeaux,-3.34,-3.34,-3.34,4.16667,45.166672
Arrondissement d'Épernay,4.62,5.11,0.53,3.75,48.833328
Arrondissement d'Épinal,2.3,2.62,1.13,6.5,48.166672
Arrondissement d'Étampes,5.26,6.51,3.05,2.165,48.436699
Arrondissement d'Évreux,6.06,6.91,4.22,1.08333,49.0
Arrondissement d'Évry,5.2,6.44,4.05,2.4382,48.627499
Arrondissement de Bagnères-de-Bigorre,-5.09,-1.28,-5.09,0.25,42.916672
Arrondissement de Bar-le-Duc,4.02,4.61,0.1,5.16667,48.75
Arrondissement de Bar-sur-Aube,3.07,4.35,0.19,4.58333,48.25
Arrondissement de Barcelonnette,-4.63,0.45,-5.74,6.66667,44.416672
Arrondissement de Bastia,7.47,9.05,4.63,9.33333,42.666672
Arrondissement de Bayeux,7.21,8.63,7.21,-0.83333,49.25
Arrondissement de Bayonne,5.75,8.86,3.27,-1.41667,43.333328
Arrondissement de Beaune,-0.06,0.9,-3.43,4.75,47.083328
Arrondissement de Beauvais,5.84,7.11,4.62,2.0,49.416672
Arrondissement de Belfort,2.53,3.27,0.26,6.91667,47.666672
Arrondissement de Bellac,5.92,5.92,5.92,1.16667,46.166672
Arrondissement de Belley,2.29,3.36,-0.55,5.66667,45.833328
Arrondissement de Bergerac,1.95,7.65,-0.88,0.5,44.833328
Arrondissement de Bernay,5.81,6.62,4.94,0.6666700000000001,49.166672
Arrondissement de Besançon,-0.35,4.85,-2.08,6.16667,47.25
Arrondissement de Blaye,5.28,5.33,2.77,-0.5,45.166672
Arrondissement de Blois,4.45,5.21,3.32,1.3333300000000001,47.583328
Arrondissement de Bobigny,5.42,6.64,4.25,2.4513,48.906601
Arrondissement de Bonneville,-6.2,-3.3,-9.87,6.66667,46.0
Arrondissement de Bordeaux,5.0,5.39,-0.17,-0.83333,44.833328
Arrondissement de Boulay-Moselle,5.1,6.25,2.07,6.5,49.166672
Arrondissement de Boulogne-Billancourt,5.68,6.76,4.36,2.231,48.830399
Arrondissement de Boulogne-sur-Mer,7.3,7.77,6.12,1.8333300000000001,50.75
Arrondissement de Bourg-en-Bresse,-1.86,2.9,-2.47,5.16667,46.166672
Arrondissement de Bourges,1.48,3.65,0.36,2.41667,47.25
Arrondissement de Bressuire,2.72,5.03,2.44,-0.5,46.916672
Arrondissement de Brest,7.94,8.17,7.25,-4.5,48.5
Arrondissement de Briançon,-3.22,-0.91,-7.59,6.66667,44.75
Arrondissement de Briey,4.64,5.62,1.41,5.83333,49.25
Arrondissement de Brignoles,4.4,10.53,-0.16,6.06667,43.400002
Arrondissement de Brioude,2.66,2.66,2.66,3.41667,45.166672
Arrondissement de Brive-la-Gaillarde,3.49,3.49,3.49,1.5,45.25
Arrondissement de Béthune,7.46,8.2,6.55,2.66667,50.5
Arrondissement de Béziers,4.53,9.31,1.98,3.08333,43.5
Arrondissement de Caen,7.07,7.12,5.6,-0.41667000000000004,49.083328
Arrondissement de Cahors,2.08,7.95,1.72,1.3333300000000001,44.416672
Arrondissement de Calais,7.99,8.34,7.0,1.8333300000000001,50.916672
Arrondissement de Cambrai,6.38,7.4,5.68,3.41667,50.166672
Arrondissement de Carcassonne,8.32,10.66,5.34,2.16667,43.25
