city,temp,temp_max,temp_min
Arrondissement de Bellac,5.92,5.92,5.92
Arrondissement de Belley,2.29,3.36,-0.55
Arrondissement de Bergerac,1.95,7.65,-0.88
Arrondissement de Bernay,5.81,6.62,4.94
Arrondissement de Besançon,-0.35,4.85,-2.08
Arrondissement de Blaye,5.28,5.33,2.77
Arrondissement de Blois,4.45,5.21,3.32
Arrondissement de Bobigny,5.42,6.64,4.25
Arrondissement de Bonneville,-6.2,-3.3,-9.87
Arrondissement de Bordeaux,5,5.39,-0.17
Arrondissement de Boulay-Moselle,5.1,6.25,2.07
Arrondissement de Boulogne-Billancourt,5.68,6.76,4.36
Arrondissement de Boulogne-sur-Mer,7.3,7.77,6.12
Arrondissement de Bourg-en-Bresse,-1.86,2.9,-2.47
Arrondissement de Bourges,1.48,3.65,0.36
Arrondissement de Bressuire,2.72,5.03,2.44
Arrondissement de Brest,7.94,8.17,7.25
Arrondissement de Briançon,-3.22,-0.91,-7.59
Arrondissement de Briey,4.64,5.62,1.41
Arrondissement de Brignoles,4.4,10.53,-0.16
Arrondissement de Brioude,2.66,2.66,2.66
Arrondissement de Brive-la-Gaillarde,3.49,3.49,3.49
Arrondissement de Béthune,7.46,8.2,6.55
Arrondissement de Béziers,4.53,9.31,1.98
Arrondissement de Caen,7.07,7.12,5.6
Arrondissement de Cahors,2.08,7.95,1.72
Arrondissement de Calais,7.99,8.34,7
Calvi,3.42,7.07,2.09
Arrondissement de Cambrai,6.38,7.4,5.68
Arrondissement de Carcassonne,8.32,10.66,5.34
Arrondissement de Carpentras,3.17,5.02,1
Arrondissement de Castellane,3.66,5.24,2.98
Arrondissement de Castelsarrasin,9.08,9.58,5.88
Arrondissement de Castres,8.77,10.12,7.37
Arrondissement de Chalon-sur-Saône,0.73,3.12,-2.22
Arrondissement de Chambéry,2.28,4.3,-0.14
Arrondissement de Charleville-Mézières,5.2,5.7,3.68
Arrondissement de Charolles,1.81,2.64,-0.6
Arrondissement de Chartres,4.31,6.03,3.92
Arrondissement de Chaumont,3.33,3.9,3.08
Arrondissement de Cherbourg,8.35,8.36,6.71
Arrondissement de Chinon,4.28,5.54,3.21
Arrondissement de Cholet,5.59,5.74,5.15
Arrondissement de Châlons-en-Champagne,3.99,5.62,2.45
Arrondissement de Château-Chinon (Ville),1.57,2.77,1.57
Arrondissement de Château-Gontier,6.19,6.28,5.38
Arrondissement de Château-Salins,4.33,6.67,2.49
Arrondissement de Château-Thierry,4.47,4.95,1.79
Arrondissement de Châteaubriant,6.14,6.55,5.71
Arrondissement de Châteaudun,3.59,5.38,2.82
Arrondissement de Châteaulin,7.86,7.97,7.05
Arrondissement de Châteauroux,3.96,3.96,3.49
Arrondissement de Châtellerault,3.94,4.42,2.64
Arrondissement de Clamecy,2.38,2.38,2.38
Arrondissement de Clermont,5.49,6.12,4.28
Arrondissement de Clermont-Ferrand,-4.37,-4.37,-4.37
Arrondissement de Cognac,2.97,5.34,2.78
Arrondissement de Colmar-Ribeauvillé,0.78,2.64,-0.82
